post_id,num_likes
1,7571
2,936
3,7122
4,4068
5,2692
6,1845
7,4187
8,4187
9,4360
10,8206
11,6707
12,1616
13,4840
14,8474
15,9288
16,8234
17,2933
18,4264
19,2082
20,2932
21,3895
22,5505
23,9081
24,8406
25,9059
26,7243
27,3812
28,2661
29,8951
30,4766
31,6705
32,3236
33,7328
34,4120
35,1467
36,162
37,2856
38,8163
39,6196
40,3623
41,5918
42,4829
43,187
44,99
45,4859
46,4138
47,2011
48,8520
49,892
50,9599
51,917
52,6786
53,8451
54,378
55,5313
56,340
57,8526
58,1195
59,3354
60,4453
61,487
62,8066
63,6745
64,3689
65,6094
66,3598
67,5917
68,3136
69,5106
70,3200
71,1980
72,2000
73,4584
74,6522
75,6676
76,8966
77,8915
78,4686
79,4101
80,4600
81,8139
82,2102
83,5706
84,7705
85,6682
86,557
87,557
88,2956
89,6280
90,2884
91,1061
92,4211
93,4990
94,577
95,8471
96,3481
97,3427
98,6820
99,6684
100,3470
101,1306
102,2774
103,9543
104,2496
105,6125
106,264
107,972
108,2357
109,6139
110,2191
111,8566
112,9266
113,6359
114,5905
115,8012
116,9620
117,637
118,4997
119,5754
120,3537
121,8513
122,1182
123,381
124,9668
125,5231
126,9306
127,639
128,3144
129,1396
130,6542
131,77
132,3785
133,3210
134,6960
135,479
136,1322
137,9929
138,2966
139,8113
140,7131
141,7029
142,5686
143,847
144,6330
145,7709
146,1475
147,8109
148,6006
149,6667
150,5726
151,5944
152,2046
153,3172
154,7855
155,7187
156,7688
157,4692
158,4516
159,6451
160,341
161,6488
162,7409
163,6251
164,3100
165,699
166,7655
167,2334
168,3515
169,7626
170,5702
171,7232
172,1445
173,3124
174,8784
175,4751
176,4014
177,2756
178,1899
179,2644
180,1211
181,5628
182,1674
183,8309
184,9477
185,1560
186,5595
187,5966
188,2789
189,8950
190,9673
191,6979
192,3594
193,8391
194,7428
195,5978
196,7212
197,8600
198,8089
199,1368
200,9551
201,8611
202,3095
203,8827
204,727
205,1231
206,4917
207,4221
208,4620
209,9782
210,9131
211,8403
212,7181
213,6238
214,3467
215,1851
216,6426
217,2963
218,5210
219,4283
220,4580
221,3375
222,6620
223,1542
224,2616
225,1678
226,9035
227,4522
228,1185
229,8784
230,357
231,770
232,6425
233,2036
234,8805
235,8135
236,4210
237,1130
238,1132
239,1309
240,8921
241,1013
242,4287
243,9540
244,6670
245,3645
246,4349
247,5278
248,2942
249,3618
250,5266
251,3561
252,7772
253,2045
254,8049
255,3255
256,6178
257,128
258,4972
259,8856
260,4556
261,8819
262,8314
263,9019
264,9705
265,3347
266,6500
267,9047
268,4290
269,41
270,3638
271,7610
272,5824
273,1442
274,2894
275,3493
276,5110
277,6408
278,5457
279,1516
280,9615
281,1565
282,5610
283,7509
284,8794
285,8511
286,997
287,9357
288,814
289,1378
290,8289
291,327
292,3116
293,2986
294,7258
295,4716
296,3597
297,7111
298,4635
299,8971
300,7086
301,3492
302,8656
303,4089
304,763
305,7101
306,2014
307,9913
308,6903
309,8434
310,5603
311,3250
312,6305
313,9393
314,7908
315,4354
316,4772
317,6465
318,5859
319,722
320,8862
321,5632
322,6373
323,2600
324,4965
325,6870
326,6669
327,4502
328,3785
329,9108
330,6357
331,6340
332,7887
333,7832
334,9587
335,3402
336,851
337,5169
338,7634
339,563
340,7072
341,1416
342,9883
343,8368
344,7056
345,9386
346,8834
347,4096
348,9357
349,3767
350,6550
351,7923
352,6435
353,1437
354,9795
355,7230
356,8950
357,2431
358,6112
359,8841
360,7416
361,3252
362,4736
363,9317
364,4491
365,5262
366,5517
367,8726
368,486
369,1353
370,8846
371,6064
372,9390
373,7530
374,6144
375,3912
376,4117
377,2401
378,4394
379,4866
380,5951
381,4606
382,3798
383,4424
384,3415
385,8870
386,331
387,3364
388,5252
389,8405
390,9283
391,9338
392,3200
393,4981
394,9051
395,1821
396,4382
397,9006
398,2294
399,4376
400,738
401,5105
402,8120
403,4943
404,637
405,2689
406,3580
407,7448
408,9588
409,1035
410,4620
411,6610
412,6405
413,7102
414,5174
415,1544
416,6169
417,7218
418,7577
419,2767
420,8958
421,3665
422,9250
423,5001
424,1551
425,3425
426,1768
427,7657
428,4916
429,789
430,6081
431,3505
432,9831
433,7999
434,3958
435,5228
436,8224
